core_serial,flight_number,payload_name,payload_mass_kg,launch_site,date_utc
B1046,67,Telkom-4,5800.0,CCSFS SLC 40,2018-08-07
B1021,38,SES-10,5300.0,KSC LC 39A,2017-03-30
B1031,49,SES-11 / Echostar 105,5200.0,KSC LC 39A,2017-10-11
B1048,75,Nusantara Satu (PSN-6),5000.0,CCSFS SLC 40,2019-02-22
B1059,85,CRS-19,5000.0,CCSFS SLC 40,2019-12-05
B1022,29,JCSAT-2B,4696.0,CCSFS SLC 40,2016-05-06
B1026,33,JCSAT-16,4600.0,CCSFS SLC 40,2016-08-14
B1046,71,SSO-A,4000.0,VAFB SLC 4E,2018-12-03
